subtopik_icon,subtopik_key,subtopik_title,subtopik_sort,subtopik_blurb,sort,key,title,url,type,blurb
👥,slot-hari-terbuka,Hari terbuka PPD Manjung,1,Gambar Hebahan,1,heb-ht-1,Hari Terbuka PPD Manjung,https://lambent-smakager-2172ca.netlify.app/hebahan-hari-terbuka-ppd-manjung.png,image,
👥,slot-hari-terbuka,Hari terbuka PPD Manjung,1,Gambar Hebahan,2,heb-ht-2,Pameran USTP (Hari Terbuka),https://lambent-smakager-2172ca.netlify.app/hebahan-hari-terbuka-pameran-ustp.png,image,
👥,slot-karnival,Karnival Digital Daerah Manjung dan Pulau Pangkor,2,Manjung · Edisi Pulau Pangkor,1,heb-kar-1,Karnival Digital COE PPD Manjung,https://lambent-smakager-2172ca.netlify.app/hebahan-karnival-digital-ppd-manjung.png,image,
👥,slot-karnival,Karnival Digital Daerah Manjung dan Pulau Pangkor,2,Manjung · Edisi Pulau Pangkor,2,heb-kar-2,Karnival Digital — Edisi Pulau Pangkor,https://lambent-smakager-2172ca.netlify.app/hebahan-karnival-digital-pulau-pangkor.png,image,
👥,slot-pameran,Pameran Peralatan COE Peringkat Negeri & Kebangsaan,3,Pameran peringkat negeri Perak,1,heb-pam-1,Pameran Peralatan COE Negeri Perak,https://lambent-smakager-2172ca.netlify.app/hebahan-pameran-coe-negeri-perak.png,image,
