Sekolah,✓,∑,% AI,☑ PLC
AFT1001-MAAHAD ISLAHIAH ADDINIAH,8,36,22.22,Belum
ABA1011-SEKOLAH KEBANGSAAN SEGARI,7,16,43.75,Belum
ABA1030-SEKOLAH KEBANGSAAN GUGUSAN LEKIR,7,34,20.59,Belum
ABB1043-SEKOLAH KEBANGSAAN SERI SERDANG,7,40,17.5,Belum
ABB1045-SEKOLAH KEBANGSAAN GANGGA,7,28,25,Belum
ABC1047-SEKOLAH JENIS KEBANGSAAN (CINA) HWA LIAN (2),7,14,50,Belum
ABC1058-SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG LIMA,7,13,53.85,Belum
ABD1093-SEKOLAH JENIS KEBANGSAAN (TAMIL) BERUAS,7,15,46.67,Belum
ABA1005-SEKOLAH KEBANGSAAN CHANGKAT CHERMIN,6,17,35.29,Belum
ABA1022-SEKOLAH KEBANGSAAN LUMUT,6,14,42.86,Belum
ABA1025-SEKOLAH KEBANGSAAN KAMPUNG BAHARU,6,13,46.15,Belum
ABB1041-SEKOLAH KEBANGSAAN METHODIST,6,31,19.35,Belum
ABC1055-SEKOLAH JENIS KEBANGSAAN (CINA) UK DIH,6,18,33.33,Belum
ABC1063-SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG JERING,6,16,37.5,Belum
ABC1068-SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN,6,14,42.86,Belum
ABC1071-SEKOLAH JENIS KEBANGSAAN (CINA) YEN MIN,6,12,50,Belum
ABD1078-SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HUNTLY,6,11,54.55,Belum
ABD1082-SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG AYER TAWAR,6,13,46.15,Belum
ABA1003-SEKOLAH KEBANGSAAN KAMPUNG KOTA,5,16,31.25,Belum
ABA1010-SEKOLAH KEBANGSAAN LADANG HUNTLY,5,13,38.46,Belum
ABC1048-SEKOLAH JENIS KEBANGSAAN (CINA) ENG LING,5,13,38.46,Belum
ABC1064-SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN,5,10,50,Belum
ABD1083-SEKOLAH JENIS KEBANGSAAN (TAMIL) KAMPONG TUN SAMBANTHAN,5,11,45.45,Belum
ABD1085-SEKOLAH JENIS KEBANGSAAN (TAMIL) KAMPUNG COLUMBIA,5,11,45.45,Belum
