Sekolah,✓,∑,% AI,☑ PLC
AEE1026-SEKOLAH MENENGAH KEBANGSAAN METHODIST (ACS),112,118,94.92,Selesai
AEA1110-SEKOLAH MENENGAH KEBANGSAAN AHMAD BOESTAMAM,107,108,99.07,Selesai
ABA1028-SEKOLAH KEBANGSAAN SERI MANJUNG,89,111,80.18,Selesai
AEA1114-SEKOLAH MENENGAH KEBANGSAAN SERI SAMUDERA,79,89,88.76,Selesai
ABA1034-SEKOLAH KEBANGSAAN SERI BAYU,76,87,87.36,Selesai
AEE1036-SEKOLAH MENENGAH KEBANGSAAN AMBROSE,76,95,80,Selesai
AEB1031-SEKOLAH MENENGAH KEBANGSAAN NAN HWA,73,128,57.03,Belum
ABA1032-SEKOLAH KEBANGSAAN KPG. DATO' SERI KAMARUDDIN,72,74,97.3,Selesai
AEA1112-SEKOLAH MENENGAH KEBANGSAAN BATU SEPULUH,68,90,75.56,Belum
AEE1030-SEKOLAH MENENGAH KEBANGSAAN TOK PERDANA,68,68,100,Selesai
AHA1002-KOLEJ VOKASIONAL SERI MANJUNG,66,93,70.97,Belum
AEA1113-SEKOLAH MENENGAH KEBANGSAAN PANTAI REMIS,65,78,83.33,Selesai
ABA1033-SEKOLAH KEBANGSAAN SERI SITIAWAN,60,60,100,Selesai
AEA1109-SEKOLAH MENENGAH KEBANGSAAN SERI MANJUNG,59,102,57.84,Belum
ABB1039-SEKOLAH KEBANGSAAN METHODIST (ACS),57,69,82.61,Selesai
AEE1038-SEKOLAH MENENGAH KEBANGSAAN DATO' IDRIS,56,56,100,Selesai
ABA1031-SEKOLAH KEBANGSAAN PANGKALAN TLDM II,55,64,85.94,Selesai
AEE1032-SEKOLAH MENENGAH KEBANGSAAN RAJA SHAHRIMAN,52,56,92.86,Selesai
AEE1037-SEKOLAH MENENGAH KEBANGSAAN PANGKOR,49,54,90.74,Selesai
AEB1034-SEKOLAH MENENGAH KEBANGSAAN AYER TAWAR,47,79,59.49,Belum
AEB1036-SEKOLAH MENENGAH KEBANGSAAN METHODIST,44,44,100,Selesai
AEA1111-SEKOLAH MENENGAH KEBANGSAAN PANGKALAN TLDM,43,66,65.15,Belum
AEA1116-SEKOLAH MENENGAH KEBANGSAAN KG. DATO' SERI KAMARUDDIN,43,61,70.49,Belum
ABB1043-SEKOLAH KEBANGSAAN SERI SERDANG,42,42,100,Selesai
ABA1014-SEKOLAH KEBANGSAAN SUNGAI WANGI,41,42,97.62,Selesai
ABA1015-SEKOLAH KEBANGSAAN SERI SELAMAT,41,41,100,Selesai
ABC1069-SEKOLAH JENIS KEBANGSAAN (CINA) TIT BIN,41,43,95.35,Selesai
ABA1035-SEKOLAH KEBANGSAAN SERI SAMUDERA,40,43,93.02,Selesai
ABC1052-SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,40,40,100,Selesai
ABC1053-SEKOLAH JENIS KEBANGSAAN (CINA) UK ING,39,42,92.86,Selesai
AEB1033-SEKOLAH MENENGAH KEBANGSAAN DINDINGS,39,56,69.64,Belum
ABA1027-SEKOLAH KEBANGSAAN PANGKALAN TLDM,37,87,42.53,Belum
ABA1019-SEKOLAH KEBANGSAAN BATU SEPULUH,36,39,92.31,Selesai
ABA1006-SEKOLAH KEBANGSAAN AYER TAWAR,34,35,97.14,Selesai
ABC1062-SEKOLAH JENIS KEBANGSAAN (CINA) MIN TE,33,35,94.29,Selesai
ABA1021-SEKOLAH KEBANGSAAN DATO' ISHAK,31,31,100,Selesai
ABA1030-SEKOLAH KEBANGSAAN GUGUSAN LEKIR,31,37,83.78,Selesai
ABA1012-SEKOLAH KEBANGSAAN NAKHODA MUHAMMAD TAIB,30,30,100,Selesai
ABB1042-SEKOLAH KEBANGSAAN CONVENT,30,30,100,Selesai
AEB1027-SEKOLAH MENENGAH KEBANGSAAN CONVENT,30,31,96.77,Selesai
ABA1016-SEKOLAH KEBANGSAAN SITIAWAN,29,38,76.32,Belum
ABA1018-SEKOLAH KEBANGSAAN MUHAMMAD SAMAN,28,31,90.32,Selesai
AFT1001-MAAHAD ISLAHIAH ADDINIAH,28,38,73.68,Belum
ABA1002-SEKOLAH KEBANGSAAN BERUAS,27,29,93.1,Selesai
ABB1044-SEKOLAH KEBANGSAAN ST. FRANCIS,27,28,96.43,Selesai
ABC1054-SEKOLAH JENIS KEBANGSAAN (CINA) CHINESE NATIONAL,27,27,100,Selesai
ABA1009-SEKOLAH KEBANGSAAN SUNGAI BATU,26,26,100,Selesai
ABA1029-SEKOLAH KEBANGSAAN PANTAI REMIS,26,29,89.66,Selesai
ABC1061-SEKOLAH JENIS KEBANGSAAN (CINA) AYER TAWAR,26,26,100,Selesai
ABA1008-SEKOLAH KEBANGSAAN PENGKALAN BAHARU,25,40,62.5,Belum
ABD1073-SEKOLAH JENIS KEBANGSAAN (TAMIL) MAHA GANESA VIDDYASALAI,25,28,89.29,Selesai
ABB1040-SEKOLAH KEBANGSAAN METHODIST (ACS),24,26,92.31,Selesai
ABA1020-SEKOLAH KEBANGSAAN SUNGAI TIRAM,20,24,83.33,Selesai
ABC1057-SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN GURNEY,20,20,100,Selesai
ABD1092-SEKOLAH JENIS KEBANGSAAN (TAMIL) AYER TAWAR,20,26,76.92,Belum
AEA1115-SEKOLAH MENENGAH KEBANGSAAN CHANGKAT BERUAS,19,38,50,Belum
ABA1017-SEKOLAH KEBANGSAAN LEKIR,18,38,47.37,Belum
ABC1055-SEKOLAH JENIS KEBANGSAAN (CINA) UK DIH,18,18,100,Selesai
ABA1004-SEKOLAH KEBANGSAAN GELONG GAJAH,17,29,58.62,Belum
ABC1056-SEKOLAH JENIS KEBANGSAAN (CINA) CHIEN HUA,17,18,94.44,Selesai
ABA1005-SEKOLAH KEBANGSAAN CHANGKAT CHERMIN,16,17,94.12,Selesai
ABA1023-SEKOLAH KEBANGSAAN SERI PANGKOR,16,43,37.21,Belum
ABB1045-SEKOLAH KEBANGSAAN GANGGA,16,28,57.14,Belum
