Sekolah,✓,∑,% AI,☑ PLC
ABC1049-SEKOLAH JENIS KEBANGSAAN (CINA) PING MIN,16,16,100,Selesai
ABC1063-SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG JERING,16,16,100,Selesai
ABA1001-SEKOLAH KEBANGSAAN DENDANG,15,15,100,Selesai
ABA1011-SEKOLAH KEBANGSAAN SEGARI,15,15,100,Selesai
ABC1065-SEKOLAH JENIS KEBANGSAAN (CINA) KAMPONG MERBAU,15,15,100,Selesai
ABC1066-SEKOLAH JENIS KEBANGSAAN (CINA) KHUEN HEAN,15,16,93.75,Selesai
ABC1067-SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI BATU,15,15,100,Selesai
ABD1089-SEKOLAH JENIS KEBANGSAAN (TAMIL) MUKIM PUNDUT,15,15,100,Selesai
ABA1026-SEKOLAH KEBANGSAAN KAYAN,14,16,87.5,Selesai
ABB1041-SEKOLAH KEBANGSAAN METHODIST,14,32,43.75,Belum
ABC1068-SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN,14,14,100,Selesai
ABC1070-SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHING,14,14,100,Selesai
ABA1010-SEKOLAH KEBANGSAAN LADANG HUNTLY,13,13,100,Selesai
ABC1046-SEKOLAH JENIS KEBANGSAAN (CINA) HWA LIAN (1),13,13,100,Selesai
ABC1047-SEKOLAH JENIS KEBANGSAAN (CINA) HWA LIAN (2),13,13,100,Selesai
ABC1051-SEKOLAH JENIS KEBANGSAAN (CINA) KUR SENG,13,14,92.86,Selesai
ABD1077-SEKOLAH JENIS KEBANGSAAN (TAMIL) PENGKALAN BARU,13,15,86.67,Selesai
ABC1059-SEKOLAH JENIS KEBANGSAAN (CINA) KOK MING,12,12,100,Selesai
ABC1071-SEKOLAH JENIS KEBANGSAAN (CINA) YEN MIN,12,12,100,Selesai
ABD1078-SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HUNTLY,12,12,100,Selesai
ABD1079-SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SOGOMANA,12,12,100,Selesai
ABD1082-SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG AYER TAWAR,12,12,100,Selesai
ABD1086-SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG WALBROOK,12,12,100,Selesai
ABD1093-SEKOLAH JENIS KEBANGSAAN (TAMIL) BERUAS,12,15,80,Selesai
ABA1003-SEKOLAH KEBANGSAAN KAMPUNG KOTA,11,16,68.75,Belum
ABA1013-SEKOLAH KEBANGSAAN SUNGAI RAMAI,11,11,100,Selesai
ABA1022-SEKOLAH KEBANGSAAN LUMUT,11,13,84.62,Selesai
ABA1025-SEKOLAH KEBANGSAAN KAMPUNG BAHARU,11,13,84.62,Selesai
ABC1048-SEKOLAH JENIS KEBANGSAAN (CINA) ENG LING,11,12,91.67,Selesai
ABC1058-SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG LIMA,11,13,84.62,Selesai
ABD1075-SEKOLAH JENIS KEBANGSAAN (TAMIL) PANGKOR,11,11,100,Selesai
ABD1083-SEKOLAH JENIS KEBANGSAAN (TAMIL) KAMPONG TUN SAMBANTHAN,10,11,90.91,Selesai
ABD1084-SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG CASHWOOD,10,11,90.91,Selesai
ABD1085-SEKOLAH JENIS KEBANGSAAN (TAMIL) KAMPUNG COLUMBIA,10,10,100,Selesai
ABD1087-SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SG WANGI II,10,17,58.82,Belum
ABA1024-SEKOLAH KEBANGSAAN TELAGA NENAS,9,12,75,Belum
ABC1064-SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN,9,9,100,Selesai
ABD1091-SEKOLAH JENIS KEBANGSAAN (TAMIL) KAMPUNG KAYAN,9,9,100,Selesai
ABA1007-SEKOLAH KEBANGSAAN PANCHOR,8,16,50,Belum
