subtopik_icon,subtopik_key,subtopik_title,subtopik_sort,subtopik_blurb,sort,key,title,url,type,blurb
📹,slot-video-kreatif,Video kreatif,1,Bahan video kreatif berkaitan pemerkasaan bacaan,1,pmk-vk-1,BENGKEL PRODUKSI MEDIA DAN KANDUNGAN DIGITAL LENSA EDU PERAK 3.0,https://docs.google.com/document/d/1GArnxqpVufIKIzxzjgkYHu5TU_yw9nic7NKsFUeMKeQ/edit?tab=t.0,gdoc,
📹,slot-video-kreatif,Video kreatif,1,Bahan video kreatif berkaitan pemerkasaan bacaan,2,pmk-vk-2,IMPAK TVPSS,https://drive.google.com/file/d/1DTDFDW46uPyiTsEvNEUJjJLVMOE2pBuc/view,pdf,
📚,slot-bicara-buku,Bicara Buku,2,Sesi bicara buku & bahan sokongan,1,pmk-bb-1,Bicara Buku — siaran YouTube,https://www.youtube.com/live/XmP3d3XwdC4,youtube,
📖,slot-pembaca-bestari,Pembaca Bestari,3,Program & bahan pembaca bestari,1,pmk-pb-1,PENILAIAN PEMBACA BESTARI PERINGKAT NEGERI PERAK,https://docs.google.com/document/d/1FDPdQjRbPcv7dA-drIpWw0gghPu3OG7xSp2DRwiH8TU/edit?tab=t.0,gdoc,
