key,value,,,
kpi_kebangsaan,55,,,
as_at,27-Nov-25,,,21-Jun-26
selesai_pct,86.43,,,46.67
selesai_bil,3179,,,1722
belum_pct,13.57,,,53.33
belum_bil,499,,,1968
tov2024,63.43,,,86.43
ar1_julai,45.29,,,
ar2_okt,60.36,,,
footer_note,AR2 (Okt) melebihi sasaran 55% berbanding AR1; titik akhir ialah snapshot setakat tarikh di atas.,,,
source_url,http://datastudio.google.com/u/2/reporting/359ac402-270f-48a6-a426-65a678267c5a/page/p_n3ao8p5l0d,,,
source_label,Buka sumber OPTIK / AI Tools,,,
